#custcode;prodcode;
C1756;P003;
C0067;P016;
C0992;P035;
C1733;P042;
C0829;P017;
C0659;P042;
C0448;P046;
C0314;P019;
C1745;P017;
C0875;P019;
C0868;P004;
C1047;P045;
C0316;P050;
C0038;P009;
C0248;P025;
C0916;P043;
C1004;P020;
C0594;P033;
C1639;P038;
C0185;P004;
C0999;P027;
C0484;P003;
C1192;P044;
C0659;P006;
C0130;P040;
C1700;P017;
C1469;P049;
C1156;P001;
C0462;P017;
C1688;P033;
C0027;P006;
C1651;P034;
C0520;P012;
C0205;P035;
C1276;P011;
C0358;P003;
C0777;P040;
C0723;P026;
C0620;P029;
C0280;P034;
C0715;P016;
C0903;P014;
C0728;P003;
C1337;P012;
C1814;P004;
C0381;P019;
C0491;P040;
C0007;P005;
C0920;P036;
C1804;P019;
C0211;P043;
C1836;P005;
C1867;P016;
C1151;P006;
C1022;P023;
C0502;P046;
C0299;P011;
C1978;P003;
C1575;P014;
C0425;P032;
C1729;P014;
C1102;P016;
C0761;P033;
C0545;P015;
C1623;P009;
C1905;P018;
C1421;P033;
C1952;P047;
C1923;P038;
C1602;P040;
C1734;P012;
C1706;P007;
C1768;P014;
C1443;P045;
C0900;P028;
C1148;P004;
C0962;P047;
C0643;P022;
C1980;P005;
C0891;P023;
C0773;P011;
C0971;P003;
C0155;P026;
C1480;P049;
C1193;P015;
C1167;P010;
C0348;P029;
C0105;P002;
C1068;P014;
C0651;P001;
C1664;P007;
C1184;P039;
C1464;P045;
C0321;P047;
C0095;P048;
C1452;P041;
C1409;P016;
C0569;P034;
C0867;P004;
C0350;P008;
C0783;P043;
C0579;P025;
C0452;P007;
C0048;P011;
C1083;P037;
C0117;P011;
C1370;P009;
C1182;P014;
C0508;P004;
C0832;P045;
C1163;P013;
C1929;P041;
C0755;P043;
C1547;P020;
C0059;P021;
C0130;P040;
C0282;P004;
C1455;P046;
C1614;P015;
C1169;P037;
C0798;P046;
C1526;P021;
C1475;P001;
C1235;P038;
C1549;P021;
C1899;P044;
C0035;P008;
C0962;P026;
C0214;P007;
C1819;P005;
C1646;P007;
C0722;P038;
C0641;P033;
C0443;P018;
